date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-01-01,1.51,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.51
2022-02-01,1.5,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.5
2022-03-01,1.43,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.43
2022-04-01,1.46,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.46
2022-05-01,1.55,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.55
2022-06-01,1.65,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.65
2022-07-01,1.72,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.72
2022-08-01,1.73,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.73
2022-09-01,1.74,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.74
2022-10-01,1.75,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.75
2022-11-01,1.73,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.73
2022-12-01,1.73,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.73
2023-01-01,1.72,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.72
2023-02-01,1.72,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.72
2023-03-01,1.7,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.7
2023-04-01,1.65,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.65
2023-05-01,1.52,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.52
2023-06-01,1.46,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.46
2023-07-01,1.43,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.43
2023-08-01,1.36,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.36
2023-09-01,1.32,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.32
2023-10-01,1.31,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.31
2023-11-01,1.29,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.29
2023-12-01,1.26,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.26
2024-01-01,1.22,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.22
2024-02-01,1.12,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.12
2024-03-01,1.05,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.05
2024-04-01,1.02,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.02
2024-05-01,1.0,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.0
2024-06-01,0.98,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,0.98
2024-07-01,,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,
2024-08-01,1.0,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.0
2024-09-01,1.04,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.04
2024-10-01,1.07,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.07
2024-11-01,1.14,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.14
2024-12-01,1.21,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.21
2025-01-01,1.24,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.24
2025-02-01,1.25,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.25
2025-03-01,1.27,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.27
2025-04-01,1.34,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.34
2025-05-01,1.38,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.38
2025-06-01,1.42,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.42
2025-07-01,1.42,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.42
2025-08-01,1.46,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.46
2025-09-01,1.5,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.5
2025-10-01,1.56,Cottonseed oil,Uzbekistan,Andijan Region,RETAIL,Liter,liter,1.56
2022-01-01,1.58,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.58
2022-02-01,1.58,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.58
2022-03-01,1.53,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.53
2022-04-01,1.53,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.53
2022-05-01,1.56,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.56
2022-06-01,1.6,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.6
2022-07-01,1.61,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.61
2022-08-01,1.62,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.62
2022-09-01,1.63,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.63
2022-10-01,1.62,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.62
2022-11-01,1.62,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.62
2022-12-01,1.6,Cottonseed oil,Uzbekistan,Bukhara Region,RETAIL,Liter,liter,1.6
