date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2020-02-01,2.7,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.7
2020-03-01,2.88,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.88
2020-04-01,2.83,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.83
2020-05-01,2.98,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.98
2020-06-01,2.99,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.99
2020-07-01,2.79,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,2.79
2020-08-01,3.02,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.02
2020-09-01,3.0,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.0
2020-10-01,3.1,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.1
2020-11-01,3.21,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.21
2020-12-01,3.46,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.46
2021-01-01,3.3,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.3
2021-02-01,3.32,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.32
2021-03-01,3.1,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.1
2021-04-01,3.42,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.42
2021-05-01,3.54,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.54
2021-06-01,3.65,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.65
2021-07-01,3.65,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.65
2021-08-01,3.69,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,3.69
2021-09-01,4.49,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.49
2021-10-01,4.59,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.59
2021-11-01,4.83,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.83
2021-12-01,4.82,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.82
2022-01-01,4.63,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.63
2022-02-01,4.77,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.77
2022-03-01,4.93,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.93
2022-04-01,5.38,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.38
2022-05-01,5.2,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.2
2022-06-01,5.08,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.08
2022-07-01,4.95,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.95
2022-08-01,4.99,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.99
2022-09-01,5.65,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.65
2022-10-01,5.1,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.1
2022-11-01,4.93,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.93
2022-12-01,5.26,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.26
2023-01-01,4.79,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.79
2023-02-01,4.75,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.75
2023-03-01,5.02,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.02
2023-04-01,4.93,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.93
2023-05-01,4.67,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.67
2023-06-01,4.95,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.95
2023-07-01,4.96,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,4.96
2023-08-01,5.01,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.01
2023-09-01,5.03,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.03
2023-10-01,5.37,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.37
2023-11-01,5.38,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.38
2023-12-01,5.39,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.39
2024-01-01,5.49,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.49
2024-02-01,5.41,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.41
2024-03-01,5.37,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.37
2024-04-01,5.12,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.12
2024-05-01,5.02,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.02
2024-06-01,5.13,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.13
2024-07-01,5.35,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.35
2024-08-01,5.29,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.29
2024-09-01,5.27,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.27
2024-10-01,5.3,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.3
2024-11-01,5.45,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.45
2024-12-01,5.47,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.47
2025-01-01,5.26,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.26
2025-02-01,5.38,Fish (dried),Guinea,National Average,RETAIL,Kg,kg,5.38
