date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2008-01-01,13.35,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2902173913043478
2008-02-01,13.09,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.28456521739130436
2008-03-01,13.37,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2906521739130435
2008-04-01,14.17,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3080434782608696
2008-05-01,18.44,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4008695652173913
2008-06-01,20.76,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.45130434782608697
2008-07-01,20.41,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.44369565217391305
2008-08-01,19.83,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4310869565217391
2008-09-01,19.87,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.43195652173913046
2008-10-01,22.23,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4832608695652174
2008-11-01,23.8,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.5173913043478261
2008-12-01,22.79,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4954347826086956
2009-01-01,19.53,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4245652173913044
2009-02-01,15.51,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.33717391304347827
2009-03-01,14.22,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3091304347826087
2009-04-01,12.43,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2702173913043478
2009-05-01,11.6,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.25217391304347825
2009-06-01,11.27,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.245
2009-07-01,13.53,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2941304347826087
2009-08-01,15.26,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3317391304347826
2009-09-01,14.68,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.31913043478260866
2009-10-01,15.78,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.34304347826086956
2009-11-01,18.51,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.4023913043478261
2009-12-01,17.16,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3730434782608696
2010-01-01,17.17,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3732608695652174
2010-02-01,14.69,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3193478260869565
2010-03-01,11.39,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.24760869565217392
2010-04-01,9.81,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2132608695652174
2010-05-01,9.51,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.2067391304347826
2010-06-01,11.47,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.24934782608695655
2010-07-01,14.08,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3060869565217391
2010-08-01,17.93,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.3897826086956522
2010-09-01,23.05,Potatoes (Imilla),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,0.5010869565217392
