date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1990-01-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
1990-02-01,1242.86,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.2428599999999999
1990-03-01,1201.43,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.20143
1990-04-01,1201.43,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.20143
1990-05-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1990-06-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1990-07-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1990-08-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1990-09-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1990-10-01,1180.71,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.18071
1990-11-01,1201.43,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.20143
1990-12-01,1242.86,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.2428599999999999
1991-01-01,1325.71,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.32571
1991-02-01,1242.86,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.2428599999999999
1991-03-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1991-04-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1991-05-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1991-06-01,1118.57,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.1185699999999998
1991-07-01,994.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,0.99429
1991-08-01,1035.71,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.0357100000000001
1991-09-01,1160.0,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.16
1991-10-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
1991-11-01,1325.71,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.32571
1991-12-01,1325.71,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.32571
1992-01-01,1292.57,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.29257
1992-02-01,1292.57,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.29257
1992-03-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
1992-04-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
1992-05-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
1992-06-01,1284.29,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,kg,1.28429
