date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,88.78,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08878
2000-02-01,88.78,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08878
2000-03-01,89.96,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08996
2000-04-01,89.17,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08917
2000-05-01,89.37,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08937
2000-06-01,77.75,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.07775
2000-07-01,68.5,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.0685
2000-08-01,66.73,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.06673
2000-09-01,68.3,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.0683
2000-10-01,76.18,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.07618000000000001
2000-11-01,85.82,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08582
2000-12-01,91.53,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.09153
2001-01-01,91.93,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.09193000000000001
2001-02-01,90.74,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.09074
2001-03-01,89.96,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08996
2001-04-01,87.59,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08759
2001-05-01,81.89,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08189
2001-06-01,78.74,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.07873999999999999
2001-07-01,83.66,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08366
2001-08-01,84.64,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08464
2001-09-01,81.69,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.08169
2001-10-01,77.16,"Maize (US No. 2, White)",INTERNATIONAL PRICES,"United States of America (Kentucky, KY)",EXPORT,tonne,kg,0.07715999999999999
