date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1990-01-01,2.07,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.07
1990-02-01,2.06,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.06
1990-03-01,2.04,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.04
1990-04-01,2.0,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.0
1990-05-01,1.92,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.92
1990-06-01,1.79,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.79
1990-07-01,1.97,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.97
1990-08-01,2.08,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.08
1990-09-01,2.09,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.09
1990-10-01,2.15,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.15
1990-11-01,2.01,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,2.01
1990-12-01,1.99,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.99
1991-01-01,1.93,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.93
1991-02-01,1.75,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.75
1991-03-01,1.73,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.73
1991-04-01,1.7,Tea,INTERNATIONAL PRICES,FAO Tea Composite Price,EXPORT,Kg,kg,1.7
